period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions_ae,other_emerg_admissions,total_emerg_admissions,dtoa_over_4hr,dtoa_over_12hr,total_seen_4hr,type1_seen_4hr,type2_seen_4hr,type3_seen_4hr,total_breach_4hr,pct_4hr_all,pct_4hr_type1,pct_4hr_type2,pct_4hr_type3,financial_year,month,month_name,year,fy_month_pos,season,era,pct_4hr_all_pct,pct_4hr_type1_pct,pct_4hr_type2_pct,pct_4hr_type3_pct,at_target,attendance_index,performance_index
2019-04-01,1330825.0,49281.0,732059.0,2112165.0,398802.0,1787.0,4850.0,405439.0,129787.0,535226.0,66933.0,442.0,1797984.0,304221.0,800.0,9160.0,314181.0,0.8512516777808552,0.7714042041590743,0.983766563178507,0.9874873473312944,2019-20,4,Apr,2019,1,Spring,Pre-COVID,85.1,77.1,98.4,98.7,0,100.0,100.0
2019-05-01,1369332.0,50642.0,752032.0,2172006.0,406065.0,2145.0,4631.0,412841.0,134541.0,547382.0,61507.0,416.0,1694301.0,253619.0,639.0,7207.0,261465.0,0.8663106936105853,0.7908133008359418,0.9852802285135104,0.9897035502535896,2019-20,5,May,2019,2,Spring,Pre-COVID,86.6,79.1,98.5,99.0,0,102.9,102.5
2019-06-01,1334137.0,49233.0,724617.0,2107987.0,392446.0,1528.0,4696.0,398670.0,130131.0,528801.0,57671.0,462.0,1638461.0,250465.0,781.0,7336.0,258582.0,0.8636920723462779,0.7879605729335543,0.9813732738677288,0.9891140311176072,2019-20,6,Jun,2019,3,Summer,Pre-COVID,86.4,78.8,98.1,98.9,0,100.2,102.1
2019-07-01,1415918.0,52418.0,796714.0,2265050.0,408752.0,1840.0,5101.0,415693.0,138376.0,554069.0,58532.0,452.0,1763996.0,264384.0,751.0,10380.0,275515.0,0.8649112458819785,0.7892795458874745,0.9832148764024854,0.9859749061615832,2019-20,7,Jul,2019,4,Summer,Pre-COVID,86.5,78.9,98.3,98.6,0,106.4,102.3
2019-08-01,1324070.0,48786.0,752579.0,2125435.0,393710.0,1366.0,4877.0,399953.0,129278.0,529231.0,56498.0,371.0,1653995.0,254243.0,657.0,7830.0,262730.0,0.8629276500280426,0.7833338446539723,0.9843130700539612,0.9888367875610732,2019-20,8,Aug,2019,5,Summer,Pre-COVID,86.3,78.3,98.4,98.9,0,99.5,101.5
2019-09-01,1342510.0,48217.0,732618.0,2123345.0,391228.0,1363.0,7133.0,399724.0,130179.0,529903.0,64924.0,458.0,1630176.0,273446.0,815.0,7936.0,282197.0,0.852436214064934,0.7700109003559438,0.980136969608345,0.9883702867861488,2019-20,9,Sep,2019,6,Autumn,Pre-COVID,85.2,77.0,98.0,98.8,0,100.9,99.8
2019-10-01,1376347.0,50391.0,744147.0,2170885.0,412649.0,1810.0,6647.0,421106.0,142027.0,563133.0,80091.0,725.0,1635544.0,311503.0,886.0,7636.0,320025.0,0.836351977352883,0.7446165021242127,0.9793905559432426,0.9889785850269834,2019-20,10,Oct,2019,7,Autumn,Pre-COVID,83.6,74.5,97.9,98.9,0,103.4,96.5
2019-11-01,1366383.0,47179.0,729943.0,2143505.0,408116.0,1736.0,6607.0,416459.0,143097.0,559556.0,88922.0,1111.0,1571567.0,347294.0,846.0,9988.0,358128.0,0.8144121221229261,0.7132654779871929,0.9790723562152134,0.985269870484584,2019-20,11,Nov,2019,8,Autumn,Pre-COVID,81.4,71.3,97.9,98.5,0,102.7,92.5
2019-12-01,1373654.0,43458.0,763425.0,2180537.0,416017.0,3570.0,5047.0,424634.0,136161.0,560795.0,98461.0,2356.0,1565862.0,381159.0,468.0,14571.0,396198.0,0.7980703954007523,0.6863394876217499,0.9874223978069822,0.9794674877229076,2019-20,12,Dec,2019,9,Winter,Pre-COVID,79.8,68.6,98.7,97.9,0,103.2,89.0
2020-01-01,1327234.0,49597.0,737878.0,2114709.0,408501.0,1729.0,6311.0,416541.0,142517.0,559058.0,100579.0,2847.0,1555315.0,338870.0,665.0,9241.0,348776.0,0.816828082271278,0.7116748418495624,0.9843878389482332,0.9865329041039594,2019-20,1,Jan,2020,10,Winter,Pre-COVID,81.7,71.2,98.4,98.7,0,99.7,92.3
2020-02-01,1237255.0,45124.0,687312.0,1969691.0,374612.0,3231.0,4434.0,382277.0,128534.0,510811.0,78646.0,1621.0,1468379.0,296195.0,465.0,8647.0,305307.0,0.8278686306369899,0.7297012427382219,0.9879161144460904,0.9864763629595916,2019-20,2,Feb,2020,11,Winter,Pre-COVID,82.8,73.0,98.8,98.6,0,93.0,94.6
2020-03-01,1013021.0,32747.0,486033.0,1531801.0,319392.0,1394.0,5047.0,325833.0,102135.0,427968.0,51790.0,1174.0,1162096.0,212557.0,257.0,3987.0,216801.0,0.8427721577463726,0.7633701746026799,0.990945603156708,0.991183982133578,2019-20,3,Mar,2020,12,Spring,COVID,84.3,76.3,99.1,99.1,0,76.1,99.0
2020-04-01,689720.0,19726.0,207129.0,916575.0,252680.0,960.0,4288.0,257928.0,68653.0,326581.0,15720.0,251.0,739471.0,77357.0,44.0,734.0,78135.0,0.904434409727913,0.8727678828419125,0.99749430523918,0.9961780189224512,2020-21,4,Apr,2020,1,Spring,COVID,90.4,87.3,99.7,99.6,0,51.8,113.1
2020-05-01,924218.0,26479.0,311140.0,1261837.0,308798.0,1165.0,2756.0,312719.0,85687.0,398406.0,13457.0,93.0,1049584.0,71894.0,57.0,910.0,72861.0,0.935087242582042,0.9115850471565272,0.9975525976814084,0.9968183153154412,2020-21,5,May,2020,2,Spring,COVID,93.5,91.2,99.8,99.7,0,69.4,118.2
2020-06-01,1016132.0,30894.0,363576.0,1410602.0,332910.0,1344.0,3455.0,337709.0,99892.0,437601.0,17881.0,159.0,1165135.0,89368.0,152.0,1191.0,90711.0,0.9277690098945252,0.9002326505642111,0.9942874323511726,0.9964285071699742,2020-21,6,Jun,2020,3,Summer,COVID,92.8,90.0,99.4,99.6,0,76.4,116.7
2020-07-01,1120421.0,32759.0,435106.0,1588286.0,358671.0,1340.0,3372.0,363383.0,109843.0,473226.0,21025.0,271.0,1301061.0,111270.0,163.0,1845.0,113278.0,0.9199074620723886,0.8872683210507439,0.9940942028985508,0.9953840957706308,2020-21,7,Jul,2020,4,Summer,COVID,92.0,88.7,99.4,99.5,0,84.2,115.0
2020-08-01,1179019.0,32231.0,507753.0,1719003.0,365503.0,1217.0,3488.0,370208.0,104017.0,474225.0,32159.0,335.0,1367700.0,162951.0,313.0,2835.0,166099.0,0.8917074531930195,0.8432366078514937,0.9885242896425298,0.993930025072101,2020-21,8,Aug,2020,5,Summer,COVID,89.2,84.3,98.9,99.4,0,88.6,109.3
2020-09-01,1163948.0,33295.0,496637.0,1693880.0,365705.0,1208.0,3682.0,370595.0,109260.0,479855.0,44996.0,346.0,1319940.0,188521.0,287.0,3286.0,192094.0,0.8729565605006236,0.8163077189908866,0.9897390060779406,0.9928218324642784,2020-21,9,Sep,2020,6,Autumn,COVID,87.3,81.6,99.0,99.3,0,87.5,105.8
2020-10-01,1111958.0,33012.0,454377.0,1599347.0,367175.0,1270.0,3514.0,371959.0,109887.0,481846.0,66794.0,1268.0,1198227.0,218178.0,317.0,2507.0,221002.0,0.8442802394821414,0.7758909541002634,0.988192349238276,0.9940145208154768,2020-21,10,Oct,2020,7,Autumn,COVID,84.4,77.6,98.8,99.4,0,83.6,100.6
2020-11-01,1036350.0,31872.0,416954.0,1485176.0,343989.0,1155.0,3533.0,348677.0,105239.0,453916.0,71041.0,2148.0,1104337.0,210250.0,366.0,2137.0,212753.0,0.8384673788427518,0.7682107523752196,0.9859035587736866,0.994435649339152,2020-21,11,Nov,2020,8,Autumn,COVID,83.8,76.8,98.6,99.4,0,77.9,99.6
2020-12-01,1039474.0,29838.0,405362.0,1474674.0,351824.0,1146.0,3535.0,356505.0,103755.0,460260.0,89927.0,3745.0,1049849.0,255051.0,261.0,2542.0,257854.0,0.8028191416552535,0.7204304729041685,0.989247311827957,0.9931506664762576,2020-21,12,Dec,2020,9,Winter,COVID,80.3,72.0,98.9,99.3,0,78.1,93.4
2021-01-01,941194.0,25744.0,343868.0,1310806.0,343534.0,1085.0,3426.0,348045.0,97555.0,445600.0,95695.0,3825.0,912775.0,247232.0,253.0,2326.0,249811.0,0.7851247133545389,0.7005346557199925,0.9880423480480196,0.992635744815577,2020-21,1,Jan,2021,10,Winter,COVID,78.5,70.1,98.8,99.3,0,70.7,90.8
2021-02-01,903771.0,27972.0,346348.0,1278091.0,318460.0,1101.0,3485.0,323046.0,99378.0,422424.0,57152.0,1021.0,951715.0,179397.0,357.0,2581.0,182335.0,0.8392178475375865,0.773622404942534,0.9843845682792408,0.9919019829317268,2020-21,2,Feb,2021,11,Winter,COVID,83.9,77.4,98.4,99.2,0,67.9,100.3
2021-03-01,1161079.0,35656.0,494547.0,1691282.0,375926.0,1391.0,5605.0,382922.0,121004.0,503926.0,50972.0,688.0,1294748.0,203015.0,559.0,4755.0,208329.0,0.8613983182498302,0.8006659034273113,0.9806359983372592,0.9895664881303716,2020-21,3,Mar,2021,12,Spring,COVID,86.1,80.1,98.1,99.0,0,87.2,103.8
2021-04-01,1259266.0,35363.0,571603.0,1866232.0,385748.0,1261.0,5267.0,392276.0,117986.0,510262.0,48719.0,526.0,1415993.0,234255.0,461.0,8205.0,242921.0,0.8535662487627448,0.787619934378907,0.9839294429338352,0.9844375024894306,2021-22,4,Apr,2021,1,Spring,COVID,85.4,78.8,98.4,98.4,0,94.6,102.1
2021-05-01,1396116.0,38747.0,640679.0,2075542.0,411470.0,1403.0,5593.0,418466.0,125499.0,543965.0,57308.0,695.0,1544587.0,289681.0,474.0,10753.0,300908.0,0.8369499781901333,0.7631459744439247,0.9850694553816108,0.9817965438318504,2021-22,5,May,2021,2,Spring,COVID,83.7,76.3,98.5,98.2,0,104.9,98.9
2021-06-01,1436111.0,39162.0,681859.0,2157132.0,401052.0,1444.0,5423.0,407919.0,127483.0,535402.0,66621.0,1289.0,1559797.0,337587.0,603.0,20648.0,358838.0,0.8129722432875456,0.7315810690577226,0.9809647073678894,0.967187375848205,2021-22,6,Jun,2021,3,Summer,COVID,81.3,73.2,98.1,96.7,0,107.9,94.8
2021-07-01,1430733.0,39313.0,690082.0,2160128.0,402085.0,1323.0,7160.0,410568.0,122144.0,532712.0,89762.0,2208.0,1493118.0,405163.0,853.0,21987.0,428003.0,0.7772118466249653,0.6764163269739448,0.973524116953256,0.9654721878921028,2021-22,7,Jul,2021,4,Summer,COVID,77.7,67.6,97.4,96.5,0,107.5,87.7
2021-08-01,1341757.0,39864.0,654346.0,2035967.0,381911.0,1325.0,5555.0,388791.0,115095.0,503886.0,96008.0,2787.0,1394938.0,397235.0,796.0,18246.0,416277.0,0.7701669873537929,0.6617316078510184,0.975739103931728,0.9697956913419612,2021-22,8,Aug,2021,5,Summer,COVID,77.0,66.2,97.6,97.0,0,100.8,85.8
2021-09-01,1392405.0,40503.0,694296.0,2127204.0,379118.0,1296.0,5309.0,385723.0,121363.0,507086.0,104873.0,5024.0,1421153.0,438530.0,912.0,28768.0,468210.0,0.7521863188810197,0.6396885676114917,0.972520188019766,0.954985925278013,2021-22,9,Sep,2021,6,Autumn,COVID,75.2,64.0,97.3,95.5,0,104.6,82.9
2021-10-01,1419010.0,39701.0,706091.0,2164802.0,389169.0,1176.0,5363.0,395708.0,121475.0,517183.0,121250.0,7058.0,1422881.0,472548.0,850.0,28244.0,501642.0,0.7393421642661584,0.6193521830854877,0.9739439641959414,0.9565790889664396,2021-22,10,Oct,2021,7,Autumn,Post-COVID,73.9,61.9,97.4,95.7,0,106.6,80.3
2021-11-01,1336830.0,39025.0,662100.0,2037955.0,374964.0,1246.0,5298.0,381508.0,124734.0,506242.0,120744.0,10646.0,1344752.0,445743.0,872.0,24365.0,470980.0,0.7406114999350124,0.6190077721070847,0.9728264256777812,0.9602974796680404,2021-22,11,Nov,2021,8,Autumn,Post-COVID,74.1,61.9,97.3,96.0,0,100.5,80.2
2021-12-01,1250568.0,34913.0,589161.0,1874642.0,370950.0,1881.0,7133.0,379964.0,119091.0,499055.0,120131.0,12859.0,1225087.0,423880.0,809.0,18558.0,443247.0,0.7343175886842802,0.6122625579255296,0.9719097222222224,0.9660308976424072,2021-22,12,Dec,2021,9,Winter,Post-COVID,73.4,61.2,97.2,96.6,0,94.0,79.4
2022-01-01,1247417.0,36557.0,591228.0,1875202.0,358968.0,1204.0,5320.0,365492.0,119460.0,484952.0,122433.0,16564.0,1239427.0,410646.0,933.0,16025.0,427604.0,0.7434936722832389,0.6230288342375588,0.9690413777084648,0.9707340146539948,2021-22,1,Jan,2022,10,Winter,Post-COVID,74.3,62.3,96.9,97.1,0,93.7,80.8
2022-02-01,1205820.0,37970.0,581573.0,1825363.0,334835.0,1087.0,5275.0,341197.0,118755.0,459952.0,114908.0,16402.0,1189675.0,412179.0,1128.0,20480.0,433787.0,0.732801260516107,0.6087066726411082,0.963946687122447,0.9619895359865182,2021-22,2,Feb,2022,11,Winter,Post-COVID,73.3,60.9,96.4,96.2,0,90.6,78.9
2022-03-01,1421526.0,41910.0,711362.0,2174798.0,374562.0,1258.0,5728.0,381548.0,132707.0,514255.0,136298.0,22506.0,1388093.0,514135.0,1157.0,34481.0,549773.0,0.7162997854340806,0.5867194948048043,0.966501635831958,0.9477000362509536,2021-22,3,Mar,2022,12,Spring,Post-COVID,71.6,58.7,96.7,94.8,0,106.8,76.1
2022-04-01,1312380.0,37898.0,678518.0,2028796.0,352982.0,1156.0,5793.0,359931.0,119848.0,479779.0,131604.0,24179.0,1311452.0,472636.0,1233.0,29879.0,503748.0,0.7224834728955487,0.5899043992982225,0.9616521008926072,0.9526140085164422,2022-23,4,Apr,2022,1,Spring,Post-COVID,72.2,59.0,96.2,95.3,0,98.6,76.5
2022-05-01,1437421.0,41874.0,753758.0,2233053.0,377496.0,1276.0,6015.0,384787.0,132924.0,517711.0,125318.0,19657.0,1452388.0,503222.0,1182.0,37285.0,541689.0,0.7283510115206183,0.6005645192656487,0.966627138743012,0.9466462323954749,2022-23,5,May,2022,2,Spring,Post-COVID,72.8,60.1,96.7,94.7,0,108.0,77.9
