code,region,name,type1_attendances,type2_attendances,type3_attendances,total_attendances,type1_seen_4hr,type2_seen_4hr,type3_seen_4hr,total_seen_4hr,type1_breach_4hr,type2_breach_4hr,type3_breach_4hr,total_breach_4hr,pct_4hr_all,pct_4hr_type1,pct_4hr_type2,pct_4hr_type3,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions_ae,other_emerg_admissions,total_emerg_admissions,dtoa_over_4hr,dtoa_over_12hr,icb_name,financial_year,quarter,quarter_start_date,fy_quarter,region_short,performance_band,at_target,pct_4hr_all_pct,pct_4hr_type1_pct,pct_4hr_type2_pct,pct_4hr_type3_pct,is_local_trust
RDD,NHS England East Of England ,Basildon And Thurrock University Hospitals NHS Foundation Trust,34265.0,0.0,0.0,34265.0,32203,0,0,32203,2062,0,0,2062,0.939821975777032,0.939821975777032,,,9128.0,0.0,0.0,9128.0,766.0,9894.0,550.0,0.0,Mid and South Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,2. 85-94%,0,94.0,94.0,,,0
RC1,NHS England East Of England ,Bedford Hospital NHS Trust,19277.0,0.0,2763.0,22040.0,15482,0,2763,18245,3795,0,0,3795,0.8278130671506352,0.8031332676246304,,1.0,6232.0,0.0,0.0,6232.0,784.0,7016.0,258.0,0.0,"Bedfordshire, Luton and Milton Keynes STP",2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,3. 75-84%,0,82.8,80.3,,100.0,0
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,31786.0,0.0,11217.0,43003.0,-,-,-,-,-,-,-,-,,,,,10229.0,0.0,51.0,10280.0,1360.0,11640.0,995.0,1.0,Cambridgeshire and Peterborough STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,,0,,,,,0
NQ108,NHS England East Of England ,Clacton Hospital,0.0,0.0,8261.0,8261.0,0,0,8255,8255,0,0,6,6,0.9992736956784892,,,0.9992736956784892,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Suffolk and North East Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,,0,99.9,,,99.9,0
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,28432.0,0.0,12989.0,41421.0,21118,0,12949,34067,7314,0,40,7354,0.822457207696579,0.7427546426561621,,0.9969204711679112,9361.0,0.0,0.0,9361.0,2677.0,12038.0,575.0,0.0,Hertfordshire and West Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,4. < 75% (severe),0,82.2,74.3,,99.7,0
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,50520.0,0.0,15672.0,66192.0,44399,0,15624,60023,6121,0,48,6169,0.906801426154218,0.878840063341251,,0.996937212863706,13978.0,0.0,444.0,14422.0,4974.0,19396.0,805.0,1.0,Suffolk and North East Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,2. 85-94%,0,90.7,87.9,,99.7,0
NQ106,NHS England East Of England ,Fryatt Hospital,0.0,0.0,1799.0,1799.0,0,0,1797,1797,0,0,2,2,0.998888271261812,,,0.998888271261812,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Suffolk and North East Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,,0,99.9,,,99.9,0
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0.0,0.0,2970.0,2970.0,0,0,2963,2963,0,0,7,7,0.9976430976430976,,,0.9976430976430976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hertfordshire and West Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,,0,99.8,,,99.8,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0.0,0.0,6360.0,6360.0,0,0,6357,6357,0,0,3,3,0.9995283018867924,,,0.9995283018867924,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,Hertfordshire and West Essex STP,2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,,0,100.0,,,100.0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,20023.0,0.0,1191.0,21214.0,17674,0,1162,18836,2349,0,29,2378,0.887904214198171,0.8826849123507966,,0.9756507136859782,4511.0,0.0,0.0,4511.0,1564.0,6075.0,224.0,0.0,Norfolk and Waveney Health & Care Partnership (STP),2019-20,1,2019-04-01,2019-20 Q1,NHS England East Of England ,2. 85-94%,0,88.8,88.3,,97.6,0
