code,postcode,lat,lon
RC9,LU4 0DZ,51.894292,-0.474153
RGT,CB2 0QQ,52.175003,0.14065
RWH,SG1 4AB,51.924246,-0.211889
RDE,CO4 5JL,51.910175,0.899213
RGP,NR31 6LA,52.561697,1.718003
RAJ,SS0 0RY,51.553842,0.688646
RD8,MK6 5LD,52.026384,-0.73576
RM1,NR4 7UY,52.617567,1.221195
RGN,PE29 6NT,52.333364,-0.202658
RQW,CM20 1QX,51.771322,0.087315
RCX,PE30 4ET,52.75663,0.446694
RWG,WD18 0HB,51.648926,-0.404165
RGR,IP33 2QZ,52.231679,0.709205
RF4,RM7 0AG,51.568649,0.179058
R1H,E1 2ES,51.517168,-0.056023
RQM,SW10 9NH,51.484309,-0.18162
RJ6,CR7 7YE,51.389128,-0.108758
RVR,SM5 1AA,51.380188,-0.183708
RJ1,SE1 7EH,51.49796,-0.11888
RQX,E9 6SR,51.550635,-0.046072
RYJ,W2 1BL,51.517542,-0.174387
RJZ,SE5 9RS,51.468078,-0.09389
RAX,KT2 7QB,51.414826,-0.282602
RJ2,SE13 6LH,51.453022,-0.017917
R1K,HA1 3UJ,51.575409,-0.322015
RAP,N18 1QX,51.613096,-0.073725
RAL,NW3 2QG,51.553227,-0.165298
RJ7,SW17 0QT,51.426682,-0.175694
RAS,UB8 3NN,51.526078,-0.461155
RRV,NW1 2PG,51.525737,-0.137384
RKE,N19 5NF,51.566482,-0.139066
RQ3,B4 6NH,52.484784,-1.893809
RFS,S44 5BL,53.236233,-1.400049
RLT,CV10 7DJ,52.512597,-1.478431
RNQ,NN16 8UZ,52.402797,-0.741279
RNS,NN1 5BD,52.236068,-0.883829
RX1,NG7 2UH,52.94382,-1.185953
RXK,B66 2QT,52.491258,-1.949846
RK5,NG17 4JL,53.134573,-1.233579
RJC,CV34 5BW,52.289965,-1.583203
RNA,DY1 2HQ,52.501908,-2.117684
RL4,WV10 0QP,52.599738,-2.095549
RXW,SY3 8XQ,52.709274,-2.793689
RWD,LN2 5QY,53.233597,-0.519635
RRK,B15 2GW,52.451833,-1.942563
RKB,CV2 2DX,52.421229,-1.438395
RTG,DE22 3NE,52.910425,-1.513523
RWE,LE1 5WW,52.6268,-1.135953
RJE,ST4 6QG,53.003262,-2.211798
RBK,WS2 9PS,52.582346,-1.998918
RWP,WR5 1DD,52.191205,-2.181154
RLQ,HR1 2ER,52.058529,-2.707776
RCF,BD20 6TD,53.897957,-1.962729
RFF,S75 2EP,53.55915,-1.499495
RAE,BD9 6RJ,53.805995,-1.7947
RWY,HD3 3EA,53.655489,-1.816339
RXP,DL3 6HX,54.530385,-1.563742
RP5,DN2 5LT,53.530805,-1.108942
RR7,NE9 6SX,54.939388,-1.580794
RCD,HG2 7SX,53.993822,-1.517579
RWA,HU3 2JZ,53.744134,-0.358153
RR8,LS9 7TF,53.806885,-1.520363
RXF,WF1 4DG,53.692434,-1.488558
RNN,CA2 7HY,54.896504,-2.957796
RVW,TS24 9AH,54.702408,-1.227851
RJL,DN33 2BA,53.544883,-0.096293
RTF,NE29 8NH,55.025248,-1.467353
RCU,S10 2TH,53.380617,-1.490628
RHQ,S5 7AU,53.409821,-1.455966
RTR,TS4 3BW,54.551768,-1.21482
R0B,SR4 7TP,54.902214,-1.410327
RTD,NE7 7DN,55.002783,-1.593393
RFR,S60 2UD,53.413991,-1.342881
RCB,YO31 8HE,53.96897,-1.084294
RBS,L12 2AP,53.421263,-2.897796
RXL,FY3 8NR,53.820675,-3.016275
RMC,BL4 0JR,53.553973,-2.429892
RJR,CH2 1UL,53.208816,-2.897886
RJN,SK10 3BL,53.262339,-2.141072
RXR,BB2 3HH,53.735575,-2.462715
RXN,PR2 9HT,53.791521,-2.706842
REM,L7 8XP,53.409523,-2.964809
R0A,M13 9WL,53.462452,-2.227709
RBN,L35 5DR,53.420485,-2.784953
RBT,CW1 4QJ,53.117701,-2.475863
RM3,M6 8HD,53.487562,-2.323424
RWJ,SK2 7JE,53.383794,-2.132019
RMP,OL6 9RW,53.491546,-2.071432
RTX,LA9 7RG,54.306116,-2.731605
RWW,WA5 1QG,53.393989,-2.610717
RBL,CH49 5PE,53.36964,-3.096815
RRF,WN1 2NN,53.557755,-2.629091
RTK,KT16 0PZ,51.377831,-0.527041
RXQ,HP7 0JD,51.663005,-0.621408
RN7,DA2 8DA,51.434952,0.258673
RVV,CT1 3NG,51.266593,1.087113
RXC,TN37 7PT,50.88769,0.561978
RDU,GU16 7UJ,51.319666,-0.742011
RN5,RG24 9NA,51.280633,-1.1099
R1F,PO30 5TG,50.710832,-1.301363
RWF,ME16 9QQ,51.273661,0.484004
RPA,ME7 5NY,51.379861,0.54209
RTH,OX3 9DU,51.763867,-1.219773
RHU,PO6 3LY,50.850287,-1.069917
RHW,RG1 5AN,51.451023,-0.95931
RA2,GU2 7XX,51.241012,-0.607443
RTP,RH1 5RH,51.219192,-0.161983
RHM,SO16 6YD,50.933011,-1.435095
RYR,BN11 2DH,50.816683,-0.363404
RBD,DT1 2JY,50.712931,-2.446934
RTE,GL53 7AN,51.892128,-2.071875
RN3,SN3 6BB,51.538529,-1.727188
RVJ,BS10 5NB,51.494806,-2.591016
REF,TR1 3LJ,50.266675,-5.091511
RH8,EX2 5DW,50.716692,-3.506694
RD1,BA1 3NG,51.391662,-2.391217
RNZ,SP2 8BJ,51.04394,-1.789814
RH5,TA1 5DA,51.011569,-3.121702
RA9,TQ2 7AA,50.482303,-3.553819
RA7,BS1 3NU,51.459476,-2.593021
R0D,BH15 2JB,50.721977,-1.97311
RK9,PL6 8DH,50.416707,-4.113712
